     Datum,        Gewinnzahlen,,,,,,Super6
15.06.2019,4,43,27,40,6,33,3
19.06.2019,11,4,38,20,41,23,3
22.06.2019,21,10,12,30,49,11,3
26.06.2019,34,13,42,48,21,19,8
29.06.2019,31,34,45,8,1,43,1
03.07.2019,42,45,37,39,48,2,7
06.07.2019,46,27,45,40,22,19,9
10.07.2019,30,37,25,14,39,3,9
13.07.2019,29,10,30,3,26,42,3
17.07.2019,29,8,40,19,47,48,5
20.07.2019,35,5,24,9,36,29,2
24.07.2019,1,27,40,45,23,39,9
27.07.2019,16,17,5,23,21,35,6
31.07.2019,22,1,35,17,13,23,7
03.08.2019,42,44,34,40,2,3,7
07.08.2019,46,30,27,47,21,15,2
10.08.2019,8,18,10,16,1,35,2
14.08.2019,39,15,3,18,30,41,1
17.08.2019,33,45,9,28,2,6,0
21.08.2019,46,44,45,30,39,12,9
24.08.2019,44,42,5,38,29,9,1
28.08.2019,17,31,10,34,22,14,3
31.08.2019,36,3,17,25,5,2,4
04.09.2019,27,34,29,28,42,36,4
07.09.2019,28,36,29,9,11,35,3
11.09.2019,42,28,17,3,8,38,1
14.09.2019,26,43,16,31,34,24,7
18.09.2019,44,24,18,34,46,48,8
21.09.2019,23,47,37,16,12,14,6
25.09.2019,15,5,37,33,7,23,8
28.09.2019,43,30,44,24,13,27,7
02.10.2019,3,48,29,26,33,31,0
05.10.2019,17,8,47,49,27,36,5
09.10.2019,45,12,32,22,40,2,8
12.10.2019,45,4,23,36,44,42,7
16.10.2019,17,5,31,38,9,12,8
19.10.2019,39,7,38,4,33,11,9
23.10.2019,7,16,19,31,26,1,5
26.10.2019,1,17,44,2,37,11,6
30.10.2019,11,28,48,23,44,22,9
02.11.2019,21,6,41,15,25,17,3
06.11.2019,11,39,46,45,32,7,4
09.11.2019,9,33,40,44,28,31,7
13.11.2019,17,44,38,20,18,29,0
16.11.2019,47,25,4,1,28,16,1
20.11.2019,10,18,2,42,31,7,0
23.11.2019,36,24,5,28,11,26,5
27.11.2019,41,40,1,20,12,33,9
30.11.2019,5,33,47,38,43,42,5
04.12.2019,48,46,12,35,45,13,2
07.12.2019,13,11,20,19,2,43,4
11.12.2019,25,27,36,45,14,32,5
14.12.2019,4,20,31,16,38,34,8
18.12.2019,25,42,6,48,20,19,4
21.12.2019,27,4,13,14,35,20,5
25.12.2019,47,41,33,36,22,17,2
28.12.2019,12,19,7,18,24,23,2
01.01.2020,42,17,44,13,7,37,8
04.01.2020,30,7,27,1,18,13,1
08.01.2020,35,11,25,3,2,27,2
11.01.2020,37,48,19,28,42,10,9
15.01.2020,2,24,8,46,31,43,4
18.01.2020,12,41,22,43,14,32,3
22.01.2020,16,41,33,23,3,47,4
25.01.2020,30,12,9,28,34,43,3
29.01.2020,22,24,48,17,49,39,0
01.02.2020,47,8,42,32,12,7,6
05.02.2020,49,39,13,37,16,31,7
08.02.2020,30,36,42,38,10,1,3
12.02.2020,49,24,31,41,2,10,3
15.02.2020,2,20,40,22,5,11,5
19.02.2020,22,27,3,11,7,42,7
22.02.2020,11,6,31,24,21,32,0
26.02.2020,47,5,33,2,18,45,7
29.02.2020,29,42,10,3,9,8,0
04.03.2020,22,46,14,19,29,47,5
07.03.2020,9,26,36,11,44,16,0
11.03.2020,24,23,49,41,47,7,5
14.03.2020,38,49,11,30,2,19,2
18.03.2020,19,31,28,13,34,22,5
21.03.2020,22,4,36,34,26,1,4
25.03.2020,11,6,18,35,21,49,9
28.03.2020,46,36,4,39,28,2,7
01.04.2020,15,46,48,39,22,4,6
04.04.2020,12,24,43,41,17,9,1
08.04.2020,31,25,22,18,44,5,4
11.04.2020,26,29,47,13,18,42,4
15.04.2020,22,24,27,30,11,46,0
18.04.2020,15,28,42,11,39,35,3
22.04.2020,13,29,34,9,49,39,7
25.04.2020,4,17,19,30,25,11,4
29.04.2020,1,5,41,32,7,36,9
02.05.2020,10,11,27,4,49,16,2
06.05.2020,31,19,47,43,5,34,5
09.05.2020,36,2,23,9,17,22,7
13.05.2020,17,21,46,43,20,12,4
16.05.2020,47,8,3,6,11,48,4
20.05.2020,42,31,33,45,49,9,1
23.05.2020,17,35,1,27,11,4,8
27.05.2020,25,43,47,39,4,36,3
30.05.2020,42,18,35,5,33,43,0
03.06.2020,20,25,33,38,31,43,0
06.06.2020,16,21,25,49,40,18,1
10.06.2020,36,42,11,2,20,17,1
13.06.2020,41,14,36,38,43,20,5
17.06.2020,6,29,13,48,38,35,3
20.06.2020,14,11,7,2,40,1,3
24.06.2020,38,5,18,34,11,41,3
27.06.2020,42,49,24,27,14,21,4
01.07.2020,38,32,36,2,44,39,1
04.07.2020,19,49,17,36,33,6,0
08.07.2020,15,41,9,44,28,23,7
11.07.2020,29,32,46,16,38,8,7
15.07.2020,20,13,25,14,35,47,6
18.07.2020,8,11,25,34,28,49,7
22.07.2020,44,25,17,6,11,24,1
25.07.2020,4,37,10,2,27,18,0
29.07.2020,35,20,15,34,3,43,7
01.08.2020,39,1,33,20,24,38,0
05.08.2020,10,42,33,6,8,24,4
08.08.2020,28,48,8,18,14,25,7
12.08.2020,21,35,20,34,4,45,4
15.08.2020,24,40,44,31,46,16,0
19.08.2020,27,48,38,18,5,22,1
22.08.2020,29,2,10,37,1,8,5
26.08.2020,40,18,39,26,15,3,3
29.08.2020,19,1,36,12,48,20,5
02.09.2020,39,49,6,10,23,45,3
05.09.2020,7,1,19,3,13,44,5
09.09.2020,35,49,24,46,22,9,0
12.09.2020,45,11,16,41,40,28,7
16.09.2020,41,43,8,48,31,44,8
19.09.2020,35,38,29,23,8,1,2
23.09.2020,26,6,32,25,19,33,0
26.09.2020,8,22,6,47,27,12,7
30.09.2020,20,5,7,43,33,21,4
03.10.2020,48,13,20,25,33,10,8
07.10.2020,15,38,5,37,44,8,0
10.10.2020,28,16,8,33,22,4,6
14.10.2020,20,27,14,25,26,6,2
17.10.2020,9,2,41,16,5,48,8
21.10.2020,40,16,20,34,23,47,6
24.10.2020,22,1,20,24,40,6,6
28.10.2020,7,43,12,23,36,2,4
31.10.2020,28,11,8,21,1,26,8
04.11.2020,32,45,2,7,43,17,9
07.11.2020,32,40,45,33,36,24,4
11.11.2020,19,33,10,38,37,11,9
14.11.2020,37,18,16,20,10,1,4
18.11.2020,49,35,41,29,8,19,7
21.11.2020,13,25,39,1,14,21,0
25.11.2020,18,10,30,11,17,16,4
28.11.2020,27,28,13,2,47,35,8
02.12.2020,1,41,2,43,32,44,1
05.12.2020,33,25,15,41,12,48,5
09.12.2020,5,13,3,15,40,11,2
12.12.2020,45,39,3,2,21,1,7
16.12.2020,1,19,17,2,22,48,6
19.12.2020,31,48,3,6,47,22,0
23.12.2020,39,12,37,13,38,11,7
26.12.2020,32,12,7,13,2,5,3
30.12.2020,11,8,44,5,40,45,9
02.01.2021,30,7,34,28,16,8,6
06.01.2021,38,21,14,32,37,44,6
09.01.2021,30,41,19,16,20,7,5
13.01.2021,43,23,38,40,26,7,6
16.01.2021,15,45,1,5,35,37,3
20.01.2021,42,11,35,6,31,5,0
23.01.2021,18,49,32,13,16,12,7
27.01.2021,44,45,4,16,1,15,3
30.01.2021,30,40,33,43,6,36,1
03.02.2021,34,3,12,10,6,47,9
06.02.2021,48,8,12,38,41,23,9
10.02.2021,21,32,27,46,19,5,6
13.02.2021,7,15,29,47,20,14,9
17.02.2021,4,29,48,40,25,10,9
20.02.2021,30,26,6,42,3,15,4
24.02.2021,36,5,46,13,1,44,3
27.02.2021,4,2,47,23,9,19,7
03.03.2021,24,23,9,27,10,1,4
06.03.2021,33,35,3,29,1,7,7
10.03.2021,11,8,7,46,30,21,6
13.03.2021,44,24,4,47,19,48,8
17.03.2021,3,1,31,18,41,30,3
20.03.2021,12,15,35,16,2,17,7
24.03.2021,24,23,4,14,11,48,4
27.03.2021,13,12,31,46,4,19,6
31.03.2021,31,12,1,16,48,24,4
03.04.2021,5,29,36,40,23,34,6
07.04.2021,37,18,19,9,10,36,0
10.04.2021,27,4,45,6,9,15,7
14.04.2021,2,18,4,46,20,19,5
